DATE,atm,Cash
2010-05-01,ATM1,86.57420155503203
2010-05-02,ATM1,100.752976527829
2010-05-03,ATM1,73.51645058694278
2010-05-04,ATM1,4.220241346728294
2010-05-05,ATM1,100.07993871544737
2010-05-06,ATM1,79.35991881791024
2010-05-07,ATM1,85.70933463915902
2010-05-08,ATM1,87.13839077321084
2010-05-09,ATM1,100.43104975351281
2010-05-10,ATM1,73.6462715434703
2010-05-11,ATM1,4.2125950778552905
2010-05-12,ATM1,100.12266073172943
2010-05-13,ATM1,79.3416122157895
2010-05-14,ATM1,85.71924480972275
2010-05-15,ATM1,87.13326636743103
2010-05-16,ATM1,100.4339631549606
2010-05-17,ATM1,73.64509449286678
2010-05-18,ATM1,4.212664311683293
2010-05-19,ATM1,100.12227357687273
2010-05-20,ATM1,79.34177807280393
2010-05-21,ATM1,85.71915501237208
2010-05-22,ATM1,87.13331279731031
2010-05-23,ATM1,100.43393675710502
2010-05-24,ATM1,73.64510515775082
2010-05-25,ATM1,4.212663684369816
2010-05-26,ATM1,100.12227708477663
2010-05-27,ATM1,79.34177657001568
2010-05-28,ATM1,85.71915582600204
2010-05-29,ATM1,87.13331237662123
2010-05-30,ATM1,100.43393699628905
2010-05-31,ATM1,73.6451050611191
2010-05-01,ATM2,62.145701612819956
2010-05-02,ATM2,70.6869780188626
2010-05-03,ATM2,11.529912727593297
2010-05-04,ATM2,3.728710702576793
2010-05-05,ATM2,100.22305910966867
2010-05-06,ATM2,93.69360794227445
2010-05-07,ATM2,69.63358595010389
2010-05-08,ATM2,68.45516052230771
2010-05-09,ATM2,73.17001276964844
2010-05-10,ATM2,12.79474901989112
2010-05-11,ATM2,2.815067658846052
2010-05-12,ATM2,97.29014990844287
2010-05-13,ATM2,87.48567658549851
2010-05-14,ATM2,64.32504825671772
2010-05-15,ATM2,62.24304651702033
2010-05-16,ATM2,68.84345647055929
2010-05-17,ATM2,10.610842356245824
2010-05-18,ATM2,2.601530493516432
2010-05-19,ATM2,98.47760936970516
2010-05-20,ATM2,91.4876540796779
2010-05-21,ATM2,68.8742196942628
2010-05-22,ATM2,68.022352404624
2010-05-23,ATM2,74.1091358139596
2010-05-24,ATM2,13.458994691048979
2010-05-25,ATM2,3.696393773117468
2010-05-26,ATM2,99.40225299852362
2010-05-27,ATM2,89.71186825995169
2010-05-28,ATM2,65.62441103042867
2010-05-29,ATM2,63.2652855503069
2010-05-30,ATM2,68.87285614046434
2010-05-31,ATM2,10.258636929920916
2010-05-01,ATM3,87.66666666666667
2010-05-02,ATM3,87.66666666666667
2010-05-03,ATM3,87.66666666666667
2010-05-04,ATM3,87.66666666666667
2010-05-05,ATM3,87.66666666666667
2010-05-06,ATM3,87.66666666666667
2010-05-07,ATM3,87.66666666666667
2010-05-08,ATM3,87.66666666666667
2010-05-09,ATM3,87.66666666666667
2010-05-10,ATM3,87.66666666666667
2010-05-11,ATM3,87.66666666666667
2010-05-12,ATM3,87.66666666666667
2010-05-13,ATM3,87.66666666666667
2010-05-14,ATM3,87.66666666666667
2010-05-15,ATM3,87.66666666666667
2010-05-16,ATM3,87.66666666666667
2010-05-17,ATM3,87.66666666666667
2010-05-18,ATM3,87.66666666666667
2010-05-19,ATM3,87.66666666666667
2010-05-20,ATM3,87.66666666666667
2010-05-21,ATM3,87.66666666666667
2010-05-22,ATM3,87.66666666666667
2010-05-23,ATM3,87.66666666666667
2010-05-24,ATM3,87.66666666666667
2010-05-25,ATM3,87.66666666666667
2010-05-26,ATM3,87.66666666666667
2010-05-27,ATM3,87.66666666666667
2010-05-28,ATM3,87.66666666666667
2010-05-29,ATM3,87.66666666666667
2010-05-30,ATM3,87.66666666666667
2010-05-31,ATM3,87.66666666666667
2010-05-01,ATM4,310.33468135560867
2010-05-02,ATM4,389.2952766381474
2010-05-03,ATM4,398.4370391406995
2010-05-04,ATM4,71.65753020560595
2010-05-05,ATM4,456.65668040042607
2010-05-06,ATM4,306.6552745063671
2010-05-07,ATM4,511.9344528225273
2010-05-08,ATM4,314.6571708046336
2010-05-09,ATM4,389.05656878987674
2010-05-10,ATM4,398.4370391406995
2010-05-11,ATM4,71.65753020560595
2010-05-12,ATM4,456.65668040042607
2010-05-13,ATM4,306.6552745063671
2010-05-14,ATM4,511.9344528225273
2010-05-15,ATM4,314.6571708046336
2010-05-16,ATM4,389.05656878987674
2010-05-17,ATM4,398.4370391406995
2010-05-18,ATM4,71.65753020560595
2010-05-19,ATM4,456.65668040042607
2010-05-20,ATM4,306.6552745063671
2010-05-21,ATM4,511.9344528225273
2010-05-22,ATM4,314.6571708046336
2010-05-23,ATM4,389.05656878987674
2010-05-24,ATM4,398.4370391406995
2010-05-25,ATM4,71.65753020560595
2010-05-26,ATM4,456.65668040042607
2010-05-27,ATM4,306.6552745063671
2010-05-28,ATM4,511.9344528225273
2010-05-29,ATM4,314.6571708046336
2010-05-30,ATM4,389.05656878987674
2010-05-31,ATM4,398.4370391406995
